accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz,imu_time,fix_type,pdop,num_svs,latitude,longitude,altitude,course_deg,speed,time_of_day,roll,pitch,yaw,baro_pressure_mbar,baro_temp_c,mag_x_cal,mag_y_cal,mag_z_cal
5.0658393,-5.744049,-6.140485,-0.053229168,0.020781636,-0.0102083385,377.0,89.0,147.0,3034173400.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.2256,31.373102,143.87181,970.6429,27.713783,-487.33368,39.317913,341.75165
5.0829163,-5.7550273,-6.133166,-0.018229166,0.0032817125,0.0072916597,382.0,90.0,150.0,3035485000.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.224934,31.37092,143.86543,970.6429,27.713783,-496.437,41.368004,347.38818
5.0890155,-5.694647,-6.1368256,-0.000729166,-0.01421833,-0.027708344,383.0,93.0,150.0,3036796200.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.221138,31.370377,143.86163,970.6429,27.713783,-498.3618,47.01449,347.3826
5.1256094,-5.726362,-6.129507,0.051770836,-0.031718373,-0.0102083385,374.0,97.0,146.0,3038107600.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.220222,31.370634,143.85938,970.64294,27.715195,-482.15787,54.177574,339.90955
5.1170707,-5.7147737,-6.0892534,0.016770834,-0.01421833,-0.027708344,375.0,97.0,155.0,3039419100.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.21989,31.372034,143.8373,970.64294,27.715195,-483.86475,54.233406,356.99033
5.1750116,-5.6995263,-6.076445,0.016770834,-0.01421833,0.0072916597,385.0,89.0,151.0,3040730600.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.219692,31.376299,143.83203,970.64294,27.715195,-501.85403,39.603077,349.24692
5.1304884,-5.684279,-6.1215777,-0.000729166,0.020781636,-0.0102083385,378.0,90.0,146.0,3042041900.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.216557,31.378468,143.82791,970.64294,27.715195,-489.20227,41.220673,339.842
5.0829163,-5.7538075,-6.129507,-0.018229166,0.020781636,0.0072916597,382.0,95.0,150.0,3043353300.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.21621,31.37657,143.82802,970.64294,27.715195,-496.6093,50.721386,347.40005
5.0755973,-5.707455,-6.074616,-0.000729166,0.0032817125,0.0072916597,378.0,89.0,151.0,3044664800.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.21632,31.376183,143.81274,970.64667,27.715195,-489.1042,39.36187,349.33603
5.074378,-5.727582,-6.1069403,-0.018229166,0.0032817125,0.059791654,376.0,90.0,149.0,3045976000.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.216053,31.373974,143.80093,970.64667,27.715195,-485.5213,41.158882,345.5653
5.0451026,-5.7257524,-6.114869,-0.018229166,-0.01421833,0.0072916597,381.0,95.0,149.0,3047287600.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.21475,31.370687,143.80132,970.64667,27.715195,-494.80063,50.684555,345.51355
5.0664487,-5.731851,-6.139265,-0.000729166,0.0032817125,-0.0102083385,381.0,97.0,151.0,3048599000.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.212997,31.368298,143.79884,970.64667,27.715195,-494.8441,54.430656,349.31683
5.1176805,-5.6983066,-6.1136494,-0.018229166,0.0032817125,0.024791658,381.0,90.0,147.0,3049910500.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.210773,31.369123,143.79817,970.6478,27.72593,-494.65378,41.326424,341.7031
5.12378,-5.7147737,-6.1063304,-0.018229166,-0.01421833,0.0072916597,385.0,93.0,150.0,3051221800.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.209393,31.370047,143.7999,970.6478,27.72593,-502.0046,47.083405,347.35715
5.1067023,-5.705015,-6.1057205,0.034270834,-0.031718373,-0.0102083385,377.0,90.0,152.0,3052533200.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.208298,31.370329,143.7806,970.6478,27.72593,-487.3045,41.200466,351.25043
5.135368,-5.7098947,-6.1014514,-0.018229166,-0.01421833,-0.0102083385,380.0,91.0,147.0,3053844700.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.206776,31.37222,143.7795,970.6478,27.72593,-492.86685,43.162643,341.7182
5.111582,-5.6976967,-6.0947423,-0.018229166,0.03828168,-0.027708344,375.0,95.0,147.0,3055156000.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.205254,31.374294,143.77576,970.6478,27.72593,-483.89764,50.473057,341.79135
5.1500053,-5.73856,-6.1234074,-0.018229166,0.03828168,-0.0102083385,388.0,97.0,148.0,3056467500.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.204556,31.376535,143.79218,970.6478,27.72593,-507.6321,54.664738,343.5299
5.0829163,-5.708675,-6.1191387,-0.000729166,0.0032817125,-0.027708344,378.0,93.0,151.0,3057779000.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.20255,31.375988,143.78021,970.6482,27.72593,-489.24203,46.844578,349.34552
5.096944,-5.6995263,-6.1301165,-0.018229166,-0.031718373,-0.0102083385,385.0,93.0,152.0,3059090400.0,NoFix,12,0,0.0,0.0,0,0.0,0.0,0,43.19917,31.375349,143.77599,970.6482,27.72593,-501.97916,47.088158,351.15573
5.073158,-5.727582,-6.147194,-0.018229166,-0.031718373,-0.027708344,371.0,94.0,151.0,3060401700.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.196243,31.372894,143.75346,970.6482,27.72593,-476.52664,48.474045,349.43698
5.0896254,-5.6824493,-6.1020613,0.034270834,0.0032817125,-0.027708344,381.0,88.0,146.0,3061713200.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.194492,31.373585,143.75241,970.6482,27.72593,-494.5976,37.582695,339.79907
5.0859656,-5.7062354,-6.157562,-0.000729166,0.0032817125,0.0072916597,382.0,91.0,148.0,3063024600.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.191048,31.371983,143.7515,970.6482,27.72593,-496.49695,43.233932,343.592
5.092065,-5.7178235,-6.113039,-0.000729166,-0.01421833,0.042291656,383.0,89.0,148.0,3064336000.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.19033,31.370708,143.75148,970.64703,27.715195,-498.2494,39.527035,343.57452
5.076207,-5.7227025,-6.1203585,0.016770834,-0.01421833,0.024791658,378.0,93.0,145.0,3065647400.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.1897,31.368664,143.75537,970.64703,27.715195,-489.3184,46.830326,337.94983
5.140247,-5.73856,-6.1057205,-0.018229166,0.03828168,-0.027708344,377.0,97.0,147.0,3066958800.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.1898,31.371094,143.7583,970.64703,27.715195,-487.60934,54.283325,341.77063
5.1006036,-5.7172136,-6.0855937,0.0,0.037917137,-0.0072916597,378.0,92.0,154.0,3068270000.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.190304,31.372198,143.74046,970.64703,27.715195,-489.1694,44.981026,355.041
5.090845,-5.7214828,-6.099012,0.016041666,0.037552595,0.02697917,377.0,87.0,145.0,3069581600.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.19099,31.372007,143.73726,970.64703,27.715195,-487.29022,35.57181,337.9483
5.096334,-5.705015,-6.0807147,-0.017135417,0.018958807,-0.009479158,379.0,90.0,153.0,3070893000.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.190624,31.373007,143.72083,970.6489,27.715195,-490.9346,41.271755,353.1242
5.079867,-5.7153835,-6.1246276,0.0175,-0.015676618,-0.007656239,377.0,92.0,147.0,3072204500.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.189194,31.371584,143.71666,970.6489,27.715195,-487.43707,44.929943,341.75876
5.082602,-5.699414,-6.118139,-0.017864583,-0.031718373,0.011302091,385.0,89.0,143.0,3073515800.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.186657,31.37028,143.73013,970.6489,27.715195,-501.95584,39.584076,334.05267
5.0930033,-5.7561417,-6.1035585,-0.000364583,-0.030624628,-0.0051041543,380.0,91.0,153.0,3074827300.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.187695,31.368877,143.71652,970.6489,27.715195,-492.7905,43.17689,353.11386
5.087965,-5.716492,-6.092024,0.0175,-0.013853788,-0.0043749884,380.0,84.0,148.0,3076138800.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.18783,31.368517,143.70659,970.6489,27.715195,-492.6129,30.070282,343.60083
5.078916,-5.7116466,-6.0950646,0.016770834,-0.030624628,0.030260421,386.0,94.0,145.0,3077450000.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.18776,31.367079,143.72406,970.64954,27.720848,-503.9241,48.976665,337.85037
5.0818005,-5.7036138,-6.133396,-0.0175,0.021875381,-0.005468741,379.0,93.0,151.0,3078761500.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.185047,31.366335,143.71474,970.64954,27.720848,-491.06345,46.879036,349.3328
5.085862,-5.7083354,-6.094256,-0.015677083,-0.030624628,-0.0065624937,383.0,88.0,150.0,3080073000.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.183952,31.365812,143.70857,970.64954,27.720848,-498.18948,37.66111,347.37073
5.0999603,-5.7156625,-6.140558,0.0029166676,0.0043754578,-0.0065624937,374.0,91.0,149.0,3081384400.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.181767,31.365324,143.69398,970.64954,27.720848,-481.91296,42.960644,345.59314
5.0868297,-5.7530856,-6.1157775,0.020416668,0.021146178,0.010572918,385.0,96.0,147.0,3082695700.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.183113,31.364012,143.70894,970.64954,27.720848,-502.14615,52.688313,341.66644
5.1122217,-5.7296867,-6.1295457,0.0032812506,0.021146178,0.02734375,390.0,85.0,151.0,3084007200.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.18252,31.363865,143.70857,970.64954,27.720848,-510.82324,32.292664,349.1738
5.099858,-5.7259107,-6.0496044,-0.0134895835,-0.013124585,0.044114582,374.0,98.0,146.0,3085318700.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.184902,31.36422,143.71243,970.64954,27.720848,-482.19232,56.04825,339.9119
5.087265,-5.71761,-6.102279,0.02078125,0.0043754578,0.060520828,374.0,89.0,145.0,3086630000.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.185417,31.363031,143.70714,970.64954,27.720848,-481.89493,39.20979,337.99124
5.104355,-5.7243395,-6.078529,0.0371875,0.055781722,0.0076562464,371.0,97.0,148.0,3087941400.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.187588,31.364445,143.69975,970.64954,27.720848,-476.66818,54.07895,343.74628
5.0715194,-5.7347975,-6.092041,0.0021874998,0.0029171705,-0.009114586,380.0,90.0,149.0,3089252900.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.188404,31.363274,143.69495,970.64954,27.720848,-492.80692,41.296715,345.51437
5.072657,-5.6908126,-6.0980396,0.0021874998,-0.01421833,-0.026614591,372.0,91.0,147.0,3090564400.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.18656,31.36291,143.68187,970.65,27.725372,-478.2956,42.88698,341.82004
5.0757885,-5.728094,-6.1139903,-0.014947917,0.037187934,-0.043385424,377.0,87.0,144.0,3091875600.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.18575,31.362553,143.68037,970.65,27.725372,-487.30295,35.56944,336.04904
5.0851192,-5.685018,-6.116653,0.0018229168,0.0032817125,-0.009114586,378.0,97.0,148.0,3093187000.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.1831,31.36252,143.68143,970.65,27.725372,-489.41803,54.320156,343.65717
5.0609636,-5.6944227,-6.1321735,0.0014583338,-0.01421833,0.008020826,380.0,96.0,144.0,3094498600.0,NoFix,4,0,0.0,0.0,0,0.0,0.0,0,43.180225,31.360352,143.6939,970.65,27.725372,-493.0773,52.508896,336.03223
5.1260486,-5.75644,-6.0929747,-0.016041666,0.0025525093,-0.026250012,377.0,90.0,146.0,3095809800.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.18159,31.361588,143.69197,970.65,27.725372,-487.38086,41.186214,339.85474
5.1083255,-5.746028,-6.1032877,-0.016770832,0.0029170513,-0.025885426,379.0,95.0,150.0,3097121300.0,NoFix,7,0,0.0,0.0,0,0.0,0.0,0,43.18199,31.36196,143.68884,970.65045,27.725372,-491.14508,50.61801,347.43826
